run_id,stage,sequence,config,payload_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,generator_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,generator_drop_ratio,clean,reason,raw_result
scout-1024-envoy-strict-pilot9-v1,pilot,9,envoy-strict,1024,55168,2,55163.000,265.00,382.00,110334,0,13,0,0,0,0.999909,0.999982,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot9-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot10-v1,pilot,10,envoy-strict,1024,74477,2,74474.000,317.00,473.00,148951,0,19,0,0,0,0.999960,0.999980,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot10-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot11-v1,pilot,11,envoy-strict,1024,100544,2,100539.000,279.00,417.00,201085,0,22,0,0,0,0.999950,0.999985,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot11-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot12-v1,pilot,12,envoy-strict,1024,135734,2,135728.000,284.00,435.00,271461,0,31,0,0,0,0.999956,0.999974,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot12-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot13-v1,pilot,13,envoy-strict,1024,183241,2,183232.000,294.00,434.00,366475,0,49,0,0,0,0.999951,0.999981,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot13-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot14-v1,pilot,14,envoy-strict,1024,247375,2,247363.000,297.00,447.00,494746,0,60,0,0,0,0.999951,0.999992,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot14-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot15-v1,pilot,15,envoy-strict,1024,333956,2,333961.000,316.00,462.00,667898,0,84,0,0,0,1.000015,0.999979,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot15-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot16-v1,pilot,16,envoy-strict,1024,450841,2,450838.000,454.00,678.00,901601,25,141,0,0,0,0.999993,0.999910,0.000028,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot16-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot17-v1,pilot,17,envoy-strict,1024,608635,2,608806.000,607.00,886.00,1217167,93,302,0,0,0,1.000281,0.999915,0.000076,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot17-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot18-v1,pilot,18,envoy-strict,1024,821657,2,704890.000,986.00,1327.00,1643252,233713,626,0,0,0,0.857888,0.999962,0.142226,0,achieved+generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot18-v1.result.attempt1.txt
