config,body,rate,role,core,site,samples,cores,share
grpc-envoy-strict,1008,20000,server,25,vdso,57,0.00917,0.00918
grpc-envoy-strict,1008,20000,server,25,app-code,3,0.00048,0.00048
grpc-tcp,48,8000,client,22,grpc-code,1076,0.15508,0.43847
grpc-tcp,48,8000,client,22,kernel-sched,492,0.07091,0.20049
grpc-tcp,48,8000,client,22,kernel-net,300,0.04324,0.12225
grpc-tcp,48,8000,client,22,kernel-other,215,0.03099,0.08761
grpc-tcp,48,8000,client,22,libc,156,0.02248,0.06357
grpc-tcp,48,8000,client,22,kernel-syscall,126,0.01816,0.05134
grpc-tcp,48,8000,client,22,kernel-poll,57,0.00822,0.02323
grpc-tcp,48,8000,client,22,vdso,20,0.00288,0.00815
grpc-tcp,48,8000,client,22,app-code,12,0.00173,0.00489
grpc-tcp,48,8000,server,23,grpc-code,1098,0.15568,0.46506
grpc-tcp,48,8000,server,23,kernel-sched,374,0.05303,0.15841
grpc-tcp,48,8000,server,23,kernel-net,341,0.04835,0.14443
grpc-tcp,48,8000,server,23,kernel-other,239,0.03389,0.10123
grpc-tcp,48,8000,server,23,libc,139,0.01971,0.05887
grpc-tcp,48,8000,server,23,kernel-syscall,99,0.01404,0.04193
grpc-tcp,48,8000,server,23,kernel-poll,44,0.00624,0.01864
grpc-tcp,48,8000,server,23,vdso,27,0.00383,0.01144
grpc-tcp,48,16000,client,22,grpc-code,1984,0.27923,0.41213
grpc-tcp,48,16000,client,22,kernel-sched,1041,0.14651,0.21624
grpc-tcp,48,16000,client,22,kernel-net,575,0.08093,0.11944
grpc-tcp,48,16000,client,22,kernel-other,441,0.06207,0.09161
grpc-tcp,48,16000,client,22,libc,299,0.04208,0.06211
grpc-tcp,48,16000,client,22,kernel-syscall,270,0.038,0.05609
grpc-tcp,48,16000,client,22,kernel-poll,128,0.01801,0.02659
grpc-tcp,48,16000,client,22,vdso,55,0.00774,0.01143
grpc-tcp,48,16000,client,22,app-code,21,0.00296,0.00436
grpc-tcp,48,16000,server,23,grpc-code,2077,0.29416,0.44286
grpc-tcp,48,16000,server,23,kernel-sched,1002,0.14191,0.21365
grpc-tcp,48,16000,server,23,kernel-net,551,0.07804,0.11748
grpc-tcp,48,16000,server,23,kernel-other,345,0.04886,0.07356
grpc-tcp,48,16000,server,23,kernel-syscall,270,0.03824,0.05757
grpc-tcp,48,16000,server,23,libc,254,0.03597,0.05416
grpc-tcp,48,16000,server,23,kernel-poll,127,0.01799,0.02708
grpc-tcp,48,16000,server,23,vdso,63,0.00892,0.01343
grpc-tcp,48,16000,server,23,app-code,1,0.00014,0.00021
grpc-tcp,48,24000,client,22,grpc-code,2760,0.38907,0.45061
grpc-tcp,48,24000,client,22,kernel-sched,1077,0.15182,0.17584
grpc-tcp,48,24000,client,22,kernel-net,859,0.12109,0.14024
grpc-tcp,48,24000,client,22,kernel-other,534,0.07528,0.08718
grpc-tcp,48,24000,client,22,libc,406,0.05723,0.06629
grpc-tcp,48,24000,client,22,kernel-syscall,281,0.03961,0.04588
grpc-tcp,48,24000,client,22,kernel-poll,123,0.01734,0.02008
grpc-tcp,48,24000,client,22,vdso,57,0.00804,0.00931
grpc-tcp,48,24000,client,22,app-code,28,0.00395,0.00457
grpc-tcp,48,24000,server,23,grpc-code,2796,0.39343,0.4719
grpc-tcp,48,24000,server,23,kernel-sched,876,0.12326,0.14785
grpc-tcp,48,24000,server,23,kernel-net,875,0.12312,0.14768
grpc-tcp,48,24000,server,23,kernel-other,525,0.07387,0.08861
grpc-tcp,48,24000,server,23,libc,417,0.05868,0.07038
grpc-tcp,48,24000,server,23,kernel-syscall,258,0.0363,0.04354
grpc-tcp,48,24000,server,23,kernel-poll,96,0.01351,0.0162
grpc-tcp,48,24000,server,23,vdso,77,0.01083,0.013
grpc-tcp,48,24000,server,23,app-code,5,0.0007,0.00084
grpc-tcp,1008,20000,client,22,grpc-code,2434,0.34271,0.43125
grpc-tcp,1008,20000,client,22,kernel-sched,1217,0.17135,0.21563
grpc-tcp,1008,20000,client,22,kernel-net,640,0.09011,0.11339
grpc-tcp,1008,20000,client,22,kernel-other,480,0.06758,0.08505
grpc-tcp,1008,20000,client,22,libc,360,0.05069,0.06378
grpc-tcp,1008,20000,client,22,kernel-syscall,289,0.04069,0.0512
