run_id,mode,kind,frame,threads,conc,offered_rps,achieved_rps,gbps,p50_us,p95_us,p99_us,p999_us,fail,drops,reorder,rcnt,dist
rate-l7-conn-8192-28124-r1,l7-conn,rate,8192,8,,28124,0.028122,3.6860,203.00,372.00,416.00,13836.00,0,0,0,139016,0:140616
rate-l7-conn-8192-28124-r2,l7-conn,rate,8192,8,,28124,0.028122,3.6860,205.00,372.00,412.00,594.00,0,0,0,139016,0:140616
rate-l7-conn-8192-56248-r1,l7-conn,rate,8192,8,,56248,0.056246,7.3723,211.00,230.00,361.00,960.00,0,0,0,279632,0:281232
rate-l7-conn-8192-56248-r2,l7-conn,rate,8192,8,,56248,0.056246,7.3723,212.00,229.00,360.00,1055.00,0,0,0,279632,0:281232
rate-l7-conn-8192-84372-r1,l7-conn,rate,8192,8,,84372,0.084370,11.0585,170.00,205.00,219.00,482.00,0,0,0,420248,0:421848
rate-l7-conn-8192-84372-r2,l7-conn,rate,8192,8,,84372,0.084370,11.0585,169.00,203.00,220.00,384.00,0,0,0,420249,0:421849
rate-l7-conn-8192-101246-r1,l7-conn,rate,8192,8,,101246,0.101244,13.2703,156.00,204.00,240.00,395.00,0,0,0,504617,0:506217
rate-l7-conn-8192-101246-r2,l7-conn,rate,8192,8,,101246,0.101245,13.2704,157.00,205.00,246.00,552.00,0,0,0,504616,0:506216
knee-l7-conn-8192-101247-r1,l7-conn,knee,8192,8,,101247,0.101244,13.2703,155.00,206.00,239.00,422.00,0,0,0,504618,0:506218
knee-l7-conn-8192-101247-r2,l7-conn,knee,8192,8,,101247,0.101246,13.2705,156.00,205.00,241.00,625.00,0,0,0,504627,0:506227
closed-l7-conn-8192-c32-r1,l7-conn,closed,8192,8,32,,0.227593,29.8311,574.00,1074.00,5164.00,20687.00,0,0,0,1137330,0:1138930
closed-l7-conn-8192-c1-r1,l7-conn,closed,8192,1,1,,0.005397,0.7074,154.00,376.00,521.00,608.00,0,0,0,26774,0:26974
closed-l7-conn-8192-c32-r2,l7-conn,closed,8192,8,32,,0.229050,30.0220,538.00,1784.00,7827.00,35032.00,0,0,0,1144244,0:1145844
closed-l7-conn-8192-c1-r2,l7-conn,closed,8192,1,1,,0.005279,0.6920,155.00,399.00,531.00,634.00,0,0,0,26160,0:26360
rate-opaque-64-42182-r1,opaque,rate,64,8,,42182,0.042181,0.0432,169.00,1051.00,1275.00,1656.00,0,0,0,209304,0:79089;1:52726;2:79089
rate-opaque-64-42182-r2,opaque,rate,64,8,,42182,0.042179,0.0432,164.00,888.00,1264.00,1458.00,0,0,0,209296,0:52724;1:79084;2:79088
rate-opaque-64-84365-r1,opaque,rate,64,8,,84365,0.084361,0.0864,849.00,1240.00,1311.00,1729.00,0,0,0,420158,0:158160;1:158150;2:105448
rate-opaque-64-84365-r2,opaque,rate,64,8,,84365,0.084356,0.0864,836.00,1249.00,1320.00,2139.00,0,0,0,420166,0:158163;1:105442;2:158161
