config,body,rate,role,core,site,samples,cores,share
envoy-strict,48,400000,server,23,kernel-sched,1438,0.23165,0.24866
envoy-strict,48,400000,server,23,envoy-code,908,0.14627,0.15701
envoy-strict,48,400000,server,23,kernel-other,893,0.14385,0.15442
envoy-strict,48,400000,server,23,kernel-syscall,509,0.08199,0.08802
envoy-strict,48,400000,server,23,libc,242,0.03898,0.04185
envoy-strict,48,400000,server,23,kernel-poll,151,0.02432,0.02611
envoy-strict,48,400000,server,23,app-code,36,0.0058,0.00623
envoy-strict,48,400000,server,23,vdso,13,0.00209,0.00225
envoy-strict,1008,300000,client,22,kernel-net,1548,0.2487,0.24875
envoy-strict,1008,300000,client,22,envoy-code,1473,0.23666,0.2367
envoy-strict,1008,300000,client,22,kernel-other,1169,0.18781,0.18785
envoy-strict,1008,300000,client,22,kernel-sched,1084,0.17416,0.17419
envoy-strict,1008,300000,client,22,kernel-syscall,422,0.0678,0.06781
envoy-strict,1008,300000,client,22,libc,269,0.04322,0.04323
envoy-strict,1008,300000,client,22,kernel-poll,137,0.02201,0.02202
envoy-strict,1008,300000,client,22,app-code,77,0.01237,0.01237
envoy-strict,1008,300000,client,22,vdso,44,0.00707,0.00707
envoy-strict,1008,300000,server,23,kernel-net,1761,0.2834,0.2904
envoy-strict,1008,300000,server,23,envoy-code,1479,0.23802,0.2439
envoy-strict,1008,300000,server,23,kernel-other,1115,0.17944,0.18387
envoy-strict,1008,300000,server,23,kernel-sched,932,0.14999,0.15369
envoy-strict,1008,300000,server,23,kernel-syscall,368,0.05922,0.06069
envoy-strict,1008,300000,server,23,libc,229,0.03685,0.03776
envoy-strict,1008,300000,server,23,kernel-poll,100,0.01609,0.01649
envoy-strict,1008,300000,server,23,app-code,67,0.01078,0.01105
envoy-strict,1008,300000,server,23,vdso,13,0.00209,0.00214
